Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
NIFTY 50,"18,435.15","18,473.35","18,162.75","18,199.10",-186.2,-1.01,"1,875.91","17,223.33","18,887.60","15,183.40",9.54,0.22
DIVISLAB,"3,355.00","3,529.50","3,351.55","3,515.00",163.45,4.88,14.55,505.62,"4,708.75","3,195.15",-20.27,7.63
CIPLA,"1,096.10","1,130.00","1,085.65","1,129.50",38.35,3.51,32.25,358.01,"1,180.10",860,26.37,2.27
APOLLOHOSP,"4,610.80","4,788.45","4,602.20","4,750.00",153.35,3.34,8.77,414.04,"5,141.50","3,361.55",0.96,7.49
SUNPHARMA,992,"1,009.50",988.4,"1,009.45",21.1,2.13,20.44,204.59,"1,058.30",753.05,32.14,0.63
DRREDDY,"4,379.95","4,435.00","4,353.40","4,413.00",43.25,0.99,3.48,153.36,"4,931.05","3,654.00",-3.24,1.45
HCLTECH,"1,035.00","1,053.25","1,035.00","1,038.50",8.8,0.85,28.79,299.8,"1,359.40",877.35,-10.47,-5.2
TECHM,"1,024.50","1,030.55","1,020.25","1,025.00",7.05,0.69,20.38,209.1,"1,838.00",943.7,-35.86,-1.69
NESTLEIND,"20,165.00","20,348.00","20,062.15","20,270.00",134.45,0.67,0.7,142.15,"21,050.00","16,000.00",7.36,2.57
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
